,file,class
0,tornado073,1
1,tornado408,1
2,haiear094,2
3,indotsu046,2
4,japtsu453,3
5,chrisear424,1
6,tornado104,1
7,haiear220,3
8,chrisear376,1
9,tornado416,2
10,tornado041,2
11,chrisear101,3
12,tornado271,3
13,japtsu479,3
14,haiear019,3
15,tornado415,1
16,chrisear077,2
17,indotsu040,2
18,haiear111,3
19,tornado168,3
20,japtsu315,3
21,haiear203,2
22,chrisear171,2
23,haiear015,3
24,japtsu104,3
25,tornado342,1
26,tornado117,2
27,chrisear052,2
28,japtsu342,2
29,haiear123,2
30,chrisear405,2
31,japtsu309,2
32,haiear283,2
33,tornado395,1
34,chrisear247,3
35,haiear051,2
36,japtsu080,3
37,chrisear475,2
38,indotsu061,2
39,japtsu032,1
40,chrisear123,3
41,japtsu282,3
42,chrisear394,3
43,japtsu124,3
44,tornado164,2
45,chrisear118,2
46,haiear145,2
47,tornado066,3
48,japtsu450,2
49,tornado195,3
50,japtsu396,2
51,japtsu290,1
52,haiear263,2
53,japtsu431,2
54,haiear085,2
55,tornado274,2
56,tornado136,1
57,tornado246,1
58,tornado291,1
59,japtsu328,2
60,tornado224,2
61,chrisear466,2
62,indotsu027,3
63,haiear175,2
64,japtsu422,2
65,japtsu166,3
66,haiear296,2
67,japtsu443,3
68,haiear212,2
69,haiear229,1
70,japtsu123,3
71,japtsu226,2
72,chrisear039,2
73,tornado430,1
74,tornado438,2
75,chrisear136,1
76,haiear285,2
77,tornado439,1
78,haiear136,2
79,haiear021,2
80,tornado217,3
81,tornado398,1
82,tornado165,3
83,japtsu375,2
84,japtsu335,2
85,haiear256,1
86,chrisear019,2
87,chrisear148,1
88,indotsu082,3
89,chrisear302,2
90,chrisear105,2
91,japtsu416,2
92,tornado349,1
93,haiear389,2
94,haiear226,2
95,tornado029,2
96,chrisear131,3
97,haiear180,2
98,tornado085,1
99,haiear131,3
100,tornado441,1
101,chrisear259,2
102,chrisear305,2
103,tornado042,1
104,tornado050,2
105,tornado061,3
106,chrisear480,2
107,tornado208,1
108,chrisear202,2
109,japtsu184,2
110,tornado328,1
111,haiear105,3
112,tornado330,2
113,tornado081,1
114,chrisear485,3
115,japtsu345,2
116,chrisear473,3
117,tornado302,3
118,japtsu194,3
119,japtsu297,3
120,tornado142,1
121,haiear124,3
122,tornado303,1
123,japtsu112,3
124,chrisear327,3
125,haiear078,1
126,tornado020,1
127,tornado332,1
128,chrisear355,3
129,tornado053,2
130,japtsu177,2
131,japtsu151,2
132,japtsu048,2
133,japtsu095,3
134,haiear379,2
135,japtsu197,3
136,chrisear377,1
137,japtsu234,2
138,tornado092,1
139,chrisear316,3
140,tornado183,3
141,japtsu144,3
142,tornado252,2
143,japtsu117,3
144,haiear167,2
145,haiear040,1
146,haiear395,1
147,chrisear220,1
148,haiear043,3
149,chrisear014,2
150,japtsu429,2
151,tornado299,2
152,haiear135,2
153,chrisear268,2
154,haiear298,2
155,japtsu369,1
156,tornado225,1
157,tornado407,1
158,tornado258,3
159,chrisear074,1
160,tornado317,3
161,tornado431,1
162,chrisear099,2
163,tornado383,2
164,chrisear456,2
165,japtsu005,2
166,chrisear385,2
167,indotsu048,2
168,tornado056,3
169,tornado226,1
170,japtsu051,3
171,indotsu070,2
172,japtsu379,3
173,japtsu420,1
174,tornado436,2
175,haiear313,3
176,chrisear091,2
177,chrisear373,3
178,japtsu254,2
179,chrisear135,2
180,chrisear011,2
181,indotsu104,3
182,tornado022,1
183,tornado058,3
184,haiear276,2
185,chrisear017,2
186,haiear222,1
187,tornado154,2
188,tornado024,3
189,tornado181,3
190,indotsu066,2
191,chrisear081,1
192,haiear191,3
193,tornado130,3
194,chrisear234,2
195,tornado121,3
196,haiear024,3
197,chrisear162,3
198,indotsu034,3
199,japtsu105,3
200,tornado186,1
201,japtsu021,2
202,chrisear182,1
203,tornado159,2
204,tornado420,1
205,japtsu336,1
206,haiear171,3
207,indotsu016,3
208,japtsu083,3
209,chrisear040,3
210,tornado033,1
211,tornado101,1
212,chrisear454,2
213,chrisear033,1
214,chrisear015,3
215,chrisear113,1
216,tornado112,1
217,haiear100,3
218,haiear403,1
219,tornado392,1
220,chrisear144,2
221,japtsu204,2
222,japtsu310,3
223,chrisear436,3
224,tornado212,2
225,indotsu058,1
226,japtsu391,3
227,tornado215,3
228,chrisear439,2
229,japtsu454,1
230,haiear223,1
231,japtsu250,2
232,haiear046,2
233,chrisear361,2
234,chrisear388,2
235,japtsu355,2
236,haiear274,2
237,tornado421,3
238,japtsu378,3
239,tornado216,3
240,chrisear132,2
241,japtsu251,3
242,japtsu373,2
243,haiear075,3
244,tornado144,2
245,chrisear041,2
246,chrisear462,2
247,chrisear173,2
248,chrisear197,2
249,haiear205,2
250,chrisear386,2
251,haiear340,3
252,chrisear297,2
253,haiear057,2
